"user_id","signup_time","purchase_time","purchase_value","device_id","source","browser","sex","age","ip_address","class"
22058,2015-02-24 22:55:49,2015-04-18 02:47:11,34,"QVPSPJUOCKZAR","SEO","Chrome","M",39,732758368.79972,0
333320,2015-06-07 20:39:50,2015-06-08 01:38:54,16,"EOGFQPIZPYXFZ","Ads","Chrome","F",53,350311387.865908,0
1359,2015-01-01 18:52:44,2015-01-01 18:52:45,15,"YSSKYOSJHPPLJ","SEO","Opera","M",53,2621473820.11095,1
150084,2015-04-28 21:13:25,2015-05-04 13:54:50,44,"ATGTXKYKUDUQN","SEO","Safari","M",41,3840542443.91396,0
221365,2015-07-21 07:09:52,2015-09-09 18:40:53,39,"NAUITBZFJKHWW","Ads","Safari","M",45,415583117.452712,0
159135,2015-05-21 06:03:03,2015-07-09 08:05:14,42,"ALEYXFXINSXLZ","Ads","Chrome","M",18,2809315199.92675,0
50116,2015-08-01 22:40:52,2015-08-27 03:37:57,11,"IWKVZHJOCLPUR","Ads","Chrome","F",19,3987484328.51882,0
360585,2015-04-06 07:35:45,2015-05-25 17:21:14,27,"HPUCUYLMJBYFW","Ads","Opera","M",34,1692458727.64945,0
159045,2015-04-21 23:38:34,2015-06-02 14:01:54,30,"ILXYDOZIHOOHT","SEO","IE","F",43,3719094257.18731,0
182338,2015-01-25 17:49:49,2015-03-23 23:05:42,62,"NRFFPPHZYFUVC","Ads","IE","M",31,341674739.579911,0
199700,2015-07-11 18:26:54,2015-10-28 21:59:40,13,"TEPSJVVXGNTYR","Ads","Safari","F",35,1819008577.79416,0
73884,2015-05-29 16:22:02,2015-06-16 05:45:58,58,"ZTZZJUCRDOCJZ","Direct","Chrome","M",32,4038284553.22917,0
79203,2015-06-16 21:19:35,2015-06-21 03:29:59,18,"IBPNKSMCKUZWD","SEO","Safari","M",33,4161540926.60127,0
299320,2015-03-03 19:17:07,2015-04-05 12:32:36,50,"RMKQNVEWGTWPC","Direct","Safari","M",38,3178510014.63508,0
82931,2015-02-16 02:50:30,2015-04-16 00:56:47,15,"XKIFNYUZMBWFU","SEO","IE","M",24,4203487753.9487,0
31383,2015-02-01 01:06:17,2015-03-24 10:17:58,58,"UNUAVQXNWFBMO","SEO","Safari","F",24,995732779.036539,0
78986,2015-05-15 03:52:08,2015-08-11 02:29:47,57,"TGHVAWBMZRDHH","SEO","FireFox","M",23,3503883391.85422,0
119824,2015-03-20 00:31:27,2015-04-05 07:31:46,55,"WFIIFCPIOGMHT","Ads","Safari","M",38,131423.789041531,0
357386,2015-02-03 00:48:38,2015-03-24 18:27:23,40,"NWSVDOHYIOBDR","Ads","FireFox","M",24,3037372279.06483,0
289172,2015-07-17 05:48:45,2015-11-12 22:08:11,46,"KFZGQIWDIRLZB","Direct","FireFox","F",53,1044590097.57141,0
154699,2015-07-08 15:35:44,2015-07-20 00:11:52,24,"TYZPZLEWNJJRI","Direct","FireFox","F",23,3847612074.21914,0
316355,2015-08-08 20:05:50,2015-10-03 02:21:46,47,"IHGECNGZGQOAZ","SEO","Chrome","M",28,3836794299.24283,0
343378,2015-01-30 08:50:29,2015-04-22 15:11:45,47,"VOMVNRHNBLLMI","SEO","Chrome","F",24,1008390841.02511,0
370338,2015-01-08 11:47:29,2015-03-29 20:46:44,25,"QLMZBEDPYFUXT","Ads","IE","M",34,3442657972.03298,0
171711,2015-01-11 01:51:15,2015-01-11 01:51:16,52,"YPLQGKBAAULUV","Direct","IE","F",35,1120619335.84996,1
